,Received Packets,Received Bytes,Sent Bytes,Sent Packets,Port alive Duration (S),Delta Received Packets,Delta Received Bytes,Delta Sent Bytes,Delta Sent Packets,Delta Port alive Duration (S),Connection Point,Total Load/Rate,Total Load/Latest,Active Flow Entries,Switch ID_of:0000000000000002,Switch ID_of:0000000000000003,Switch ID_of:0000000000000004,Switch ID_of:0000000000000005,Switch ID_of:0000000000000006,Switch ID_of:0000000000000007,Switch ID_of:0000000000000008,Switch ID_of:0000000000000009,Switch ID_of:000000000000000a,Switch ID_of:000000000000000b,Switch ID_of:000000000000000c,Port Number_Port#:2,Port Number_Port#:3,Port Number_Port#:4
0,132,9181,6311853,238,46,0,0,280,2,5,1,0,0,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,187,6304498,15713,171,46,146,5908166,5969,84,5,2,0,0,9,0,0,0,0,0,0,0,0,0,0,1,1,0,0
2,235,6311567,8030,58,46,2,278,280,2,5,3,0,0,9,0,0,0,0,0,0,0,0,0,0,1,0,1,0
3,59,7878,16439,182,46,2,278,280,2,5,4,0,0,9,0,0,0,0,0,0,0,0,0,0,1,0,0,1
4,188,6304547,16497,183,46,0,0,280,2,5,1,0,0,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0
5,10,856,8130,60,46,0,0,280,2,5,2,0,0,7,0,0,0,0,0,0,0,0,1,0,0,1,0,0
6,60,8082,6311515,233,46,2,278,280,2,5,3,0,0,7,0,0,0,0,0,0,0,0,1,0,0,0,1,0
7,179,16055,8040,59,46,2,278,280,2,5,5,0,0,7,0,0,0,0,0,0,0,0,1,0,0,0,0,1
8,121,8487,6311952,239,46,79,5491,5777176,145,5,1,0,0,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0
9,60,8114,8198,62,46,2,280,280,2,5,2,0,0,7,0,0,0,0,0,0,0,0,0,1,0,1,0,0
10,11,946,8214,62,46,0,0,278,2,5,1,0,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0
11,512,29635,6332447,621,46,100,5400,5678,102,5,2,-1501,0,8,0,1,0,0,0,0,0,0,0,0,0,1,0,0
12,232,6311393,36529,556,46,2,278,5678,102,5,3,-1501,0,8,0,1,0,0,0,0,0,0,0,0,0,0,1,0
13,446,28882,8124,61,46,102,5678,278,2,5,4,0,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,1
14,444,28798,7966,58,46,101,5624,278,2,5,1,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0
15,61,8124,28882,446,46,2,278,5624,101,5,2,567,20682,5,0,0,1,0,0,0,0,0,0,0,0,1,0,0
16,55,7840,8008,59,46,2,278,278,2,5,3,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,1,0
17,11,942,8098,60,46,0,0,278,2,5,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,396,21676,28876,445,46,99,5346,5624,101,5,2,540,20412,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0
