,Unnamed: 0.1,Unnamed: 0,Received Packets,Received Bytes,Sent Bytes,Sent Packets,Port alive Duration (S),Packets Rx Dropped,Packets Tx Dropped,Packets Rx Errors,Packets Tx Errors,Delta Received Packets,Delta Received Bytes,Delta Sent Bytes,Delta Sent Packets,Delta Port alive Duration (S),Delta Packets Rx Dropped, Delta Packets Tx Dropped,Delta Packets Rx Errors,Delta Packets Tx Errors,Connection Point,Total Load/Rate,Total Load/Latest,Unknown Load/Rate,Unknown Load/Latest,Latest bytes counter,is_valid,Table ID,Active Flow Entries,Packets Looked Up,Packets Matched,Max Size,Switch ID_of:0000000000000002,Switch ID_of:0000000000000003,Switch ID_of:0000000000000004,Switch ID_of:0000000000000005,Switch ID_of:0000000000000006,Switch ID_of:0000000000000007,Switch ID_of:0000000000000008,Switch ID_of:0000000000000009,Switch ID_of:000000000000000a,Switch ID_of:000000000000000b,Switch ID_of:000000000000000c,Port Number_Port#:2,Port Number_Port#:3,Port Number_Port#:4
0,0,0,132,9181,6311853,238,46,0,0,0,0,0,0,280,2,5,0,0,0,0,1,0,0,0,0,0,True,0,9,767,688,-1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,1,1,187,6304498,15713,171,46,0,0,0,0,146,5908166,5969,84,5,0,0,0,0,2,0,0,0,0,0,True,0,9,767,688,-1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
2,2,2,235,6311567,8030,58,46,0,0,0,0,2,278,280,2,5,0,0,0,0,3,0,0,0,0,0,True,0,9,767,688,-1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
3,3,3,59,7878,16439,182,46,0,0,0,0,2,278,280,2,5,0,0,0,0,4,0,0,0,0,0,True,0,9,767,688,-1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
4,4,4,188,6304547,16497,183,46,0,0,0,0,0,0,280,2,5,0,0,0,0,1,0,0,0,0,0,True,0,7,489,403,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
5,5,5,10,856,8130,60,46,0,0,0,0,0,0,280,2,5,0,0,0,0,2,0,0,0,0,0,True,0,7,489,403,-1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
6,6,6,60,8082,6311515,233,46,0,0,0,0,2,278,280,2,5,0,0,0,0,3,0,0,0,0,0,True,0,7,489,403,-1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
7,7,7,179,16055,8040,59,46,0,0,0,0,2,278,280,2,5,0,0,0,0,5,0,0,0,0,0,True,0,7,489,403,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
8,8,8,121,8487,6311952,239,46,0,0,0,0,79,5491,5777176,145,5,0,0,0,0,1,0,0,0,0,0,True,0,7,409,353,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
9,9,9,60,8114,8198,62,46,0,0,0,0,2,280,280,2,5,0,0,0,0,2,0,0,0,0,0,True,0,7,409,353,-1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
10,10,10,11,946,8214,62,46,0,0,0,0,0,0,278,2,5,0,0,0,0,1,0,0,0,0,0,True,0,8,1233,1145,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
11,11,11,512,29635,6332447,621,46,0,0,0,0,100,5400,5678,102,5,0,0,0,0,2,-1501,0,-1501,0,-1501,True,0,8,1233,1145,-1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
12,12,12,232,6311393,36529,556,46,0,0,0,0,2,278,5678,102,5,0,0,0,0,3,-1501,0,-1501,0,-1501,True,0,8,1233,1145,-1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
13,13,13,446,28882,8124,61,46,0,0,0,0,102,5678,278,2,5,0,0,0,0,4,0,0,0,0,0,True,0,8,1233,1145,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
14,14,14,444,28798,7966,58,46,0,0,0,0,101,5624,278,2,5,0,0,0,0,1,0,0,0,0,0,True,0,5,605,516,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
15,15,15,61,8124,28882,446,46,0,0,0,0,2,278,5624,101,5,0,0,0,0,2,567,20682,567,20682,567,True,0,5,605,516,-1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
16,16,16,55,7840,8008,59,46,0,0,0,0,2,278,278,2,5,0,0,0,0,3,0,0,0,0,0,True,0,5,605,516,-1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
17,17,17,11,942,8098,60,46,0,0,0,0,0,0,278,2,5,0,0,0,0,1,0,0,0,0,0,True,0,6,940,857,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,18,18,396,21676,28876,445,46,0,0,0,0,99,5346,5624,101,5,0,0,0,0,2,540,20412,540,20412,540,True,0,6,940,857,-1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
19,19,19,442,28702,8008,59,46,0,0,0,0,101,5624,278,2,5,0,0,0,0,3,0,0,0,0,0,True,0,6,940,857,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
20,20,20,56,7882,8008,59,46,0,0,0,0,2,278,278,2,5,0,0,0,0,4,0,0,0,0,0,True,0,6,940,857,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
21,21,21,186,6304411,15955,175,46,0,0,0,0,0,0,278,2,5,0,0,0,0,1,0,0,0,0,0,True,0,7,787,738,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
22,22,22,59,8008,28702,442,46,0,0,0,0,2,278,5624,101,5,0,0,0,0,2,540,20412,540,20412,540,True,0,7,787,738,-1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
23,23,23,57,7924,7924,57,46,0,0,0,0,2,278,278,2,5,0,0,0,0,1,0,0,0,0,0,True,0,5,219,121,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
24,24,24,59,8008,8008,59,46,0,0,0,0,2,278,278,2,5,0,0,0,0,2,0,0,0,0,0,True,0,5,219,121,-1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
25,25,25,58,7998,7924,57,46,0,0,0,0,2,278,278,2,5,0,0,0,0,3,0,0,0,0,0,True,0,5,219,121,-1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
26,26,26,59,8008,8082,60,46,0,0,0,0,2,278,278,2,5,0,0,0,0,1,0,0,0,0,0,True,0,5,401,307,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
27,27,27,57,7924,7998,58,46,0,0,0,0,2,278,278,2,5,0,0,0,0,2,0,0,0,0,0,True,0,5,401,307,-1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
28,28,28,233,6311515,8082,60,46,0,0,0,0,2,280,278,2,5,0,0,0,0,3,0,0,0,0,0,True,0,5,401,307,-1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
29,29,29,59,8008,7882,56,46,0,0,0,0,2,278,278,2,5,0,0,0,0,1,0,0,0,0,0,True,0,4,229,146,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
30,30,30,61,8124,8008,59,46,0,0,0,0,2,278,278,2,5,0,0,0,0,2,0,0,0,0,0,True,0,4,229,146,-1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
31,31,31,59,8008,8008,59,46,0,0,0,0,2,278,278,2,5,0,0,0,0,4,0,0,0,0,0,True,0,4,229,146,-1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
32,32,32,59,8008,7840,55,46,0,0,0,0,2,278,278,2,5,0,0,0,0,1,0,0,0,0,0,True,0,5,224,137,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
33,33,33,59,8008,8008,59,46,0,0,0,0,2,278,278,2,5,0,0,0,0,2,0,0,0,0,0,True,0,5,224,137,-1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
34,34,34,60,8082,8008,59,46,0,0,0,0,2,278,278,2,5,0,0,0,0,3,0,0,0,0,0,True,0,5,224,137,-1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
35,35,35,60,8082,7730,57,46,0,0,0,0,2,278,278,2,5,0,0,0,0,1,0,0,0,0,0,True,0,7,354,265,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
36,36,36,60,8082,7562,53,46,0,0,0,0,2,278,278,2,5,0,0,0,0,3,0,8209,0,8209,0,True,0,7,354,265,-1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
37,37,37,59,8040,16055,179,46,0,0,0,0,2,280,278,2,5,0,0,0,0,4,0,0,0,0,0,True,0,7,354,265,-1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
38,38,38,132,9181,6313015,247,56,0,0,0,0,0,0,560,4,5,0,0,0,0,1,0,0,0,0,0,True,0,9,1042,963,-1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
39,39,39,303,6312426,6320302,354,56,0,0,0,0,89,6150,5908709,150,5,0,0,0,0,2,604723,6047239,604723,6047239,604723,True,0,9,1042,963,-1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
40,40,40,418,12616148,17078,182,56,0,0,0,0,150,5908705,6710,93,5,0,0,0,0,3,0,0,0,0,0,True,0,9,1042,963,-1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
41,41,41,68,9032,17601,191,56,0,0,0,0,4,556,560,4,5,0,0,0,0,4,0,0,0,0,0,True,0,9,1042,963,-1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
42,42,42,188,6304547,17659,192,56,0,0,0,0,0,0,560,4,5,0,0,0,0,1,0,0,0,0,0,True,0,4,516,430,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
43,43,43,10,856,9292,69,56,0,0,0,0,0,0,560,4,5,0,0,0,0,2,0,0,0,0,0,True,0,4,516,430,-1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
44,44,44,69,9236,6312635,241,56,0,0,0,0,4,556,560,4,5,0,0,0,0,3,0,0,0,0,0,True,0,4,516,430,-1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
45,45,45,188,17209,9202,68,56,0,0,0,0,4,556,560,4,5,0,0,0,0,5,0,0,0,0,0,True,0,4,516,430,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
