,Received Packets,Received Bytes,Sent Bytes,Sent Packets,Port alive Duration (S),Delta Received Packets,Delta Received Bytes,Delta Sent Bytes,Delta Sent Packets,Delta Port alive Duration (S),Connection Point,Total Load/Rate,Total Load/Latest,Active Flow Entries,Switch ID_of:0000000000000002,Switch ID_of:0000000000000003,Switch ID_of:0000000000000004,Switch ID_of:0000000000000005,Switch ID_of:0000000000000006,Switch ID_of:0000000000000007,Switch ID_of:0000000000000008,Switch ID_of:0000000000000009,Switch ID_of:000000000000000a,Switch ID_of:000000000000000b,Switch ID_of:000000000000000c,Port Number_Port#:2,Port Number_Port#:3,Port Number_Port#:4
2000,480,12625242,26467,251,156,4,556,598,5,5,3,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,1,0
2001,1950,116476,124165,2062,156,103,5890,5890,103,5,1,583,105139,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2002,251,26467,12625242,480,156,5,598,556,4,5,2,0,0,7,0,0,0,0,0,0,1,0,0,0,0,1,0,0
2003,2054,123933,116476,1950,156,102,5852,5890,103,5,3,583,97524,7,0,0,0,0,0,0,1,0,0,0,0,0,1,0
2004,379,35068,12625284,481,156,5,598,556,4,5,1,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2005,139,18536,18898,143,156,5,598,598,5,5,2,0,0,4,0,0,0,1,0,0,0,0,0,0,0,1,0,0
2006,141,18814,18814,141,156,5,598,598,5,5,3,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,1,0
2007,2127,6420040,123967,2057,156,103,5890,5848,102,5,1,529,105139,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2008,141,18814,18814,141,156,5,598,598,5,5,2,0,0,8,0,0,0,0,1,0,0,0,0,0,0,1,0,0
2009,2063,124219,116530,1951,156,103,5890,5890,103,5,3,529,97524,8,0,0,0,0,1,0,0,0,0,0,0,0,1,0
2010,313,6322156,18730,139,156,5,598,598,5,5,1,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2011,262,27121,18394,131,156,5,598,556,4,5,3,0,0,5,0,0,0,0,0,0,0,1,0,0,0,1,0,0
2012,139,18834,6322156,313,156,5,602,598,5,5,4,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,1,0
2013,226,6307234,96092,792,913,0,0,560,4,5,1,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2014,458,6323147,12703444,1148,913,41,2981,2889499,81,5,2,630328,6303287,6,0,0,0,0,0,0,0,0,0,0,1,1,0,0
2015,1255,12710310,6391257,834,913,81,2889495,560,4,5,3,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,1,0
2016,662,86576,6405738,1061,913,4,556,3541,45,5,4,304,7679,6,0,0,0,0,0,0,0,0,0,0,1,0,0,1
